Date,Open
2013-04-01,4922.0
2013-04-02,4954.95
2013-04-03,4890.0
2013-04-04,4843.0
2013-04-05,4785.0
2013-04-08,4770.0
2013-04-09,4638.0
2013-04-10,4588.6
2013-04-11,4586.0
2013-04-12,4578.0
2013-04-15,4652.0
2013-04-16,4635.0
2013-04-17,4690.0
2013-04-18,4651.0
2013-04-22,4660.1
2013-04-23,4694.75
2013-04-25,4662.0
2013-04-26,4702.0
2013-04-29,4710.0
2013-04-30,4715.9
2013-05-02,4670.0
2013-05-03,4728.0
2013-05-06,4705.25
2013-05-07,4890.0
2013-05-08,4939.0
2013-05-09,4870.0
2013-05-10,4667.0
2013-05-11,4641.1
2013-05-13,4720.1
2013-05-14,4713.0
2013-05-15,4753.0
2013-05-16,4800.0
2013-05-17,4867.0
2013-05-20,4848.95
2013-05-21,4752.0
2013-05-22,4795.25
2013-05-23,4755.0
2013-05-24,4810.05
2013-05-27,4807.0
2013-05-28,4830.0
2013-05-29,4854.0
2013-05-30,4791.0
2013-05-31,4910.0
2013-06-03,4843.1
2013-06-04,4700.0
2013-06-05,4694.0
2013-06-06,4641.9
2013-06-07,4592.0
2013-06-10,4585.15
2013-06-11,4530.0
2013-06-12,4485.0
2013-06-13,4465.55
2013-06-14,4465.0
2013-06-17,4541.0
2013-06-18,4552.1
2013-06-19,4553.25
2013-06-20,4566.0
2013-06-21,4540.0
2013-06-24,4520.1
2013-06-25,4373.1
2013-06-26,4370.0
2013-06-27,4559.0
2013-06-28,4562.0
2013-07-01,4606.1
2013-07-02,4682.1
2013-07-03,4660.0
2013-07-04,4603.35
2013-07-05,4600.0
2013-07-08,4666.3
2013-07-09,4680.3
2013-07-10,4784.0
2013-07-11,4810.0
2013-07-12,4899.45
2013-07-15,4805.1
2013-07-16,4755.2
2013-07-17,4830.0
2013-07-18,5016.0
2013-07-19,5221.1
2013-07-22,5189.9
2013-07-23,5024.0
2013-07-24,4910.0
2013-07-25,5007.8
2013-07-26,5115.0
2013-07-29,5075.0
2013-07-30,521.5
2013-07-31,512.0
2013-08-01,515.0
2013-08-02,499.0
2013-08-05,498.1
2013-08-06,470.0
2013-08-07,435.3
2013-08-08,423.2
2013-08-12,431.45
2013-08-13,438.9
2013-08-14,442.1
2013-08-16,434.45
2013-08-19,418.7
2013-08-20,420.9
2013-08-21,423.0
2013-08-22,413.0
2013-08-23,419.0
2013-08-26,421.5
2013-08-27,422.7
2013-08-28,400.6
2013-08-29,389.7
2013-08-30,408.2
2013-09-02,420.0
2013-09-03,422.0
2013-09-04,403.0
2013-09-05,410.0
2013-09-06,406.8
2013-09-10,429.8
2013-09-11,448.7
2013-09-12,446.55
2013-09-13,437.0
2013-09-16,450.0
2013-09-17,441.05
2013-09-18,442.0
2013-09-19,452.0
2013-09-20,480.25
2013-09-23,485.0
2013-09-24,486.0
2013-09-25,489.5
2013-09-26,476.8
2013-09-27,484.0
2013-09-30,470.0
2013-10-01,462.0
2013-10-03,457.0
2013-10-04,467.95
2013-10-07,469.8
2013-10-08,465.0
2013-10-09,455.0
2013-10-10,467.0
2013-10-11,485.05
2013-10-14,481.5
2013-10-15,473.9
2013-10-17,484.4
2013-10-18,484.1
2013-10-21,490.0
2013-10-22,530.0
2013-10-23,526.0
2013-10-24,520.25
2013-10-25,517.0
2013-10-28,517.9
2013-10-29,502.0
2013-10-30,521.0
2013-10-31,529.5
2013-11-01,539.0
2013-11-03,543.95
2013-11-05,535.35
2013-11-06,550.0
2013-11-07,552.0
2013-11-08,550.0
2013-11-11,551.15
2013-11-12,548.0
2013-11-13,523.1
2013-11-14,525.25
2013-11-18,518.2
2013-11-19,528.0
2013-11-20,531.9
2013-11-21,520.9
2013-11-22,512.0
2013-11-25,510.15
2013-11-26,513.5
2013-11-27,506.9
2013-11-28,509.9
2013-11-29,505.05
2013-12-02,506.0
2013-12-03,504.0
2013-12-04,506.05
2013-12-05,507.9
2013-12-06,504.95
2013-12-09,516.0
2013-12-10,505.0
2013-12-11,504.1
2013-12-12,498.0
